benchmark name,collecting queries,rewriting,gen derived preds,finalize,total complation,tseitin transformation, solution, size(KB)
cat 6,0.000076,0.351027,0.000463,0.000164,0.351918,0.000668,0.06s,10076
cat 7,0.000087,0.355580,0.000507,0.000131,0.356526,0.000421,0.06s,10072
cat 8,0.000076,0.349580,0.000534,0.000133,0.350531,0.000433,0.06s,10076
cat 9,0.000072,0.358829,0.000489,0.000135,0.359713,0.000454,0.07s,10072
cat 10,0.000075,0.358696,0.000485,0.000128,0.359570,0.000370,0.05s,10072
cat 11,0.000087,0.369215,0.000504,0.000130,0.370119,0.000422,0.08s,10072
cat 12,0.000078,0.354797,0.000492,0.000145,0.355704,0.000386,0.07s,10068
cat 13,0.000074,0.354030,0.000589,0.000138,0.355035,0.000412,0.08s,10072
cat 14,0.000074,0.347491,0.000512,0.000129,0.348392,0.000373,0.09s,10208
cat 15,0.000077,0.348348,0.000499,0.000133,0.349253,0.000363,0.13s,10468
cat 16,0.000075,0.350594,0.000515,0.000134,0.351509,0.000340,0.12s,10476
cat 17,0.000073,0.359192,0.000502,0.000125,0.360103,0.000335,0.41s,12208
cat 18,0.000073,0.348582,0.000517,0.000126,0.349488,0.000330,0.41s,12184
cat 19,0.000077,0.350011,0.000513,0.000127,0.350918,0.000332,0.81s,14740
cat 20,0.000078,0.361606,0.000520,0.000134,0.362532,0.000333,3.59s,28832
cat 21,0.000074,0.353093,0.000522,0.000133,0.354011,0.000356,3.68s,29372
cat 22,0.000073,0.348130,0.000589,0.000134,0.349129,0.000342,7.86s,48552
cat 23,0.000076,0.351928,0.000521,0.000130,0.352845,0.000354,7.91s,48028
cat 24,0.000072,0.360884,0.000567,0.000133,0.361838,0.000332,37.74s,160012
cat 25,0.000073,0.354643,0.000532,0.000124,0.355556,0.000337,80.28s,333120
elevator 15,0.000151,0.350189,0.000631,0.000228,0.351401,0.000488,0.09s,10336
elevator 16,0.000148,0.355631,0.000611,0.000211,0.356811,0.000496,0.08s,10264
elevator 17,0.000154,0.357186,0.000653,0.000216,0.358409,0.000490,0.08s,10268
elevator 18,0.000147,0.353170,0.000758,0.000223,0.354501,0.000535,0.12s,10868
elevator 19,0.000147,0.356673,0.000690,0.000221,0.357937,0.000515,0.14s,11004
elevator 20,0.000146,0.355512,0.000624,0.000221,0.356697,0.000480,0.27s,13240
elevator 21,0.000150,0.358021,0.000752,0.000222,0.359355,0.000476,0.27s,13128
elevator 22,0.000144,0.356014,0.000630,0.000228,0.357223,0.000481,0.30s,13536
elevator 23,0.000144,0.354048,0.000607,0.000217,0.355209,0.000500,0.81s,23512
elevator 24,0.000148,0.351608,0.000647,0.000214,0.352825,0.000504,0.88s,23460
elevator 25,0.000146,0.354980,0.000624,0.000216,0.356160,0.000483,2.07s,40720
elevator 26,0.000147,0.362608,0.000617,0.000215,0.363783,0.000513,2.98s,63252
elevator 27,0.000149,0.351762,0.000742,0.000222,0.353078,0.000484,2.94s,63504
elevator 28,0.000148,0.351115,0.000747,0.000243,0.352482,0.000492,8.78s,129208
elevator 29,0.000144,0.350843,0.000639,0.000213,0.352030,0.000501,10.19s,143640
elevator 30,0.000145,0.356477,0.000708,0.000215,0.357749,0.000477,35.05s,455892
elevator 31,0.000150,0.358417,0.000645,0.000223,0.359634,0.000512,31.56s,437500
elevator 32,0.000159,0.358583,0.000642,0.000216,0.359792,0.000485,32.64s,434416
elevator 33,0.000169,0.359845,0.000657,0.000218,0.361085,0.000509,124.68s,1648596
elevator 34,0.000151,0.357858,0.000732,0.000216,0.359164,0.000497,125.28s,1620364
robot 3,0.000598,0.409293,0.001013,0.000321,0.411421,0.001163,0.08s,10072
robot 4,0.000393,0.373644,0.001412,0.000357,0.376018,0.002301,0.08s,10076
robot 5,0.000491,0.398075,0.001836,0.000443,0.401053,0.003983,0.10s,10072
robot 6,0.000598,0.406115,0.002114,0.000540,0.409611,0.005961,0.14s,10072
robot 7,0.000722,0.397825,0.002395,0.000593,0.401731,0.008399,0.15s,10072
robot 8,0.000807,0.383583,0.002811,0.000705,0.388110,0.011246,0.18s,10068
robot 9,0.000896,0.396360,0.002995,0.000794,0.401242,0.014643,0.22s,10072
robot 10,0.000993,0.387171,0.003430,0.000854,0.392652,0.018243,0.27s,10068
robot 11,0.001094,0.406909,0.003704,0.000933,0.412835,0.022531,0.34s,10072
robot 12,0.001192,0.403163,0.004135,0.001041,0.409737,0.027347,0.37s,10204
robot 13,0.001343,0.404331,0.004527,0.001109,0.411512,0.032519,0.46s,10204
robot 14,0.001448,0.407887,0.004761,0.001205,0.415503,0.038501,0.50s,10204
robot 15,0.001573,0.405725,0.005049,0.001272,0.413843,0.044021,0.62s,10204
robot 16,0.001585,0.410490,0.005712,0.001342,0.419355,0.050543,0.65s,10216
robot 17,0.001748,0.424374,0.006072,0.001421,0.433813,0.057236,0.77s,10344
robot 18,0.001812,0.436415,0.006289,0.001491,0.446206,0.064490,0.85s,10356
robot 19,0.001932,0.423894,0.006859,0.001563,0.434454,0.072976,0.93s,10336
robot 20,0.002052,0.436415,0.007115,0.001677,0.447473,0.084936,1.09s,10468
robot 21,0.002107,0.441484,0.007510,0.001804,0.453113,0.091376,1.16s,10472
robot 22,0.002588,0.446834,0.007523,0.001880,0.459029,0.099334,1.39s,10476
task 3,0.000172,0.357141,0.001605,0.000340,0.359457,0.005292,0.07s,10072
task 4,0.000175,0.356004,0.001635,0.000316,0.358321,0.005257,0.09s,10216
task 5,0.000177,0.359305,0.001587,0.000320,0.361583,0.005344,0.09s,10620
task 6,0.000180,0.358792,0.001730,0.000319,0.361217,0.005321,0.13s,11192
task 7,0.000181,0.355749,0.001633,0.000336,0.358104,0.005230,0.16s,11984
task 8,0.000172,0.356271,0.001609,0.000326,0.358581,0.005283,0.21s,12956
task 9,0.000177,0.362255,0.001716,0.000318,0.364671,0.005336,0.28s,14372
task 10,0.000174,0.357253,0.001678,0.000320,0.359617,0.005288,0.37s,15840
task 11,0.000177,0.358418,0.001628,0.000334,0.360758,0.005281,0.49s,18144
task 12,0.000173,0.357454,0.001723,0.000336,0.359917,0.005281,0.62s,20124
task 13,0.000177,0.360296,0.001615,0.000317,0.362609,0.005364,0.84s,23260
task 14,0.000180,0.356983,0.001584,0.000322,0.359268,0.005274,1.09s,26740
task 15,0.000169,0.361852,0.001645,0.000312,0.364171,0.005315,1.43s,30196
task 16,0.000174,0.355690,0.001728,0.000316,0.358112,0.005250,1.98s,34232
task 17,0.000176,0.356461,0.001598,0.000328,0.358755,0.005318,2.54s,40500
task 18,0.000190,0.356938,0.001600,0.000315,0.359240,0.005255,3.27s,45364
task 19,0.000173,0.385818,0.001692,0.000328,0.388218,0.005416,4.20s,50716
task 20,0.000174,0.362826,0.001606,0.000315,0.365123,0.005366,5.38s,57684
task 21,0.000181,0.359078,0.001683,0.000331,0.361474,0.005339,6.46s,68124
task 22,0.000177,0.353970,0.001553,0.000330,0.356221,0.005257,7.99s,75620
order 4,0.000110,0.343331,0.001553,0.000210,0.345410,0.000409,0.14s,10772
order 5,0.000116,0.333606,0.001510,0.000206,0.335637,0.000409,0.16s,11056
order 6,0.000114,0.329622,0.001415,0.000207,0.331555,0.000396,0.20s,11308
order 7,0.000114,0.329936,0.001462,0.000214,0.331929,0.000404,0.23s,11936
order 10,0.000109,0.337724,0.001465,0.000211,0.339704,0.000409,0.39s,13188
order 15,0.000112,0.334778,0.001464,0.000210,0.336778,0.000419,0.84s,17532
order 20,0.000112,0.330723,0.001358,0.000207,0.332589,0.000400,1.66s,25504
order 25,0.000111,0.348969,0.001447,0.000230,0.350960,0.000401,3.03s,34048
order 30,0.000113,0.348246,0.001422,0.000212,0.350190,0.000402,4.91s,51484
order 35,0.000139,0.342739,0.001569,0.000211,0.344883,0.000415,7.25s,69520
order 40,0.000110,0.329694,0.001405,0.000212,0.331624,0.000412,10.52s,87076
order 45,0.000114,0.335001,0.001441,0.000213,0.336962,0.000439,14.39s,125920
order 50,0.000110,0.334111,0.001554,0.000212,0.336189,0.000402,19.12s,160816
order 55,0.000115,0.346890,0.001495,0.000226,0.348934,0.000416,25.72s,192772
order 60,0.000109,0.356671,0.001509,0.000226,0.358720,0.000398,32.57s,280260
trip 4,0.000190,0.386606,0.000769,0.000319,0.388097,0.000651,0.48s,18092
trip 5,0.000176,0.350697,0.000586,0.000301,0.351951,0.000628,0.62s,19592
trip 6,0.000184,0.350057,0.000610,0.000298,0.351340,0.000623,0.71s,23172
trip 7,0.000196,0.344583,0.000581,0.000304,0.345853,0.000618,0.84s,26064
trip 10,0.000185,0.361570,0.000597,0.000305,0.362874,0.000616,1.42s,32908
trip 15,0.000184,0.366908,0.000597,0.000309,0.368188,0.000625,2.75s,57768
trip 20,0.000185,0.347391,0.000585,0.000315,0.348662,0.000643,4.81s,80624
trip 25,0.000202,0.345330,0.000618,0.001024,0.347365,0.000644,8.06s,140804
trip 30,0.000181,0.349975,0.000621,0.000949,0.351930,0.000622,11.57s,185720
trip 35,0.000179,0.345205,0.001377,0.000308,0.347259,0.000678,16.67s,288588
trip 40,0.000185,0.346313,0.001433,0.000308,0.348442,0.000642,23.14s,381336
trip 45,0.000199,0.348656,0.001358,0.000294,0.350698,0.000685,30.37s,475836
trip 50,0.000183,0.366445,0.001417,0.000310,0.368563,0.000626,39.80s,561572
trip 55,0.000186,0.345398,0.001535,0.000307,0.347635,0.000636,50.67s,910244
trip 60,0.000211,0.347713,0.001456,0.000315,0.349899,0.000605,63.51s,1033728
tripv2 4,0.000210,0.368575,0.001443,0.000356,0.370785,0.001031,0.51s,18188
tripv2 5,0.000201,0.360463,0.001385,0.000369,0.362603,0.001064,0.60s,19656
tripv2 6,0.000250,0.359223,0.001454,0.000386,0.361512,0.001060,0.75s,23248
tripv2 7,0.000267,0.366363,0.001573,0.000371,0.368791,0.001044,0.88s,26140
tripv2 10,0.000225,0.366611,0.001504,0.000401,0.368941,0.001021,1.47s,33052
tripv2 15,0.000202,0.363456,0.001567,0.000374,0.365798,0.001028,2.85s,57940
tripv2 20,0.000237,0.369210,0.001594,0.000358,0.371605,0.001020,4.86s,80992
tripv2 25,0.000205,0.362239,0.001565,0.000360,0.364574,0.001033,7.86s,141120
tripv2 30,0.000242,0.363682,0.001491,0.000362,0.365981,0.001033,11.82s,186492
tripv2 35,0.000200,0.363947,0.001525,0.000360,0.366236,0.001035,17.02s,289284
tripv2 40,0.000203,0.352614,0.001445,0.000362,0.354810,0.001067,23.73s,381804
tripv2 45,0.000206,0.363210,0.001559,0.000349,0.365524,0.001043,30.99s,476152
tripv2 50,0.000206,0.361379,0.001579,0.000349,0.363717,0.001041,39.45s,564052
tripv2 55,0.000203,0.363089,0.001517,0.000366,0.365364,0.001042,51.51s,911104
tripv2 60,0.000214,0.362467,0.001433,0.000349,0.364658,0.001035,64.26s,1035476
